Protein IDs;log2 rpn6_01;log2 rpn6_02;log2 rpn6_03;log2 ev_01;log2 ev_02;log2 ev_03; -Log Student's T-test p-value rpn6_ev; Student's T-test q-value rpn6_ev; Student's T-test Difference rpn6_ev;Student's T-test Test statistic rpn6_ev;Sign p-val: 0.05 
G5ECP9;34,3017;34,3402;34,4052;34,1602;33,8717;33,8893;1,72805;0,0216029;0,375336;3,82458;+
G5ECQ3;26,4053;25,7698;25,6308;25,228;25,6885;25,9039;0,455915;0,377568;0,328525;1,05726;
G5ECR0;28,1845;29,0722;27,3803;29,1803;29,261;29,2931;0,988401;0,0905664;-1,03246;-2,10813;
G5ECR5;30,6167;30,8412;30,9786;27,8383;29,7688;27,1408;1,49589;0,032497;2,56284;3,23173;+
G5ECR7;27,8113;27,1997;26,1941;29,4529;26,2715;25,6996;0,0192831;0,975802;-0,0729599;-0,0579469;
G5ECT6;32,2155;32,1708;31,6385;31,1108;29,9424;30,7221;1,65405;0,0244828;1,41651;3,629;+
G5ECU1;29,4628;30,4009;28,6027;30,8993;29,2483;30,189;0,369541;0,482171;-0,623384;-0,883166;
G5ECU3;28,8113;29,0762;29,2656;29,6404;30,5972;30,2586;1,64295;0,024619;-1,11435;-3,60022;+
G5ECU5;28,3365;29,0443;29,3279;27,8757;27,17;27,1043;1,77483;0,0191543;1,51957;3,95165;+
G5ECV9;29,454;29,5499;29,5623;29,2765;28,9365;30,6789;0,0711207;0,912729;-0,10854;-0,203135;
G5ECY0;31,9854;32,0803;31,7814;29,628;31,525;31,0128;1,00401;0,0860645;1,22712;2,14007;
G5ECZ2;31,4942;30,9082;31,4972;31,0972;31,6883;31,3638;0,116477;0,85661;-0,0832672;-0,320326;
G5ED07;29,4078;30,7545;30,7548;31,1419;29,6261;30,6431;0,0928362;0,882822;-0,164676;-0,260221;
H9G337;26,3153;26,4381;26,9457;26,0155;26,7548;26,4739;0,202213;0,753694;0,151664;0,524348;
G5ED27;30,7639;30,8004;30,9804;31,0551;31,0947;31,3496;1,30779;0,0455181;-0,318227;-2,79167;+
G5ED31;27,4746;26,8606;27,2749;24,5351;24,0917;24,6218;3,47335;0,00210072;2,7872;11,4129;+
G5ED40;24,282;24,9198;24,6559;24,5803;24,4829;24,5921;0,131853;0,840289;0,067461;0,358407;
G5ED41;28,7819;28,6413;28,6095;24,4577;28,5487;28,9006;0,409227;0,432069;1,37521;0,963771;
Q5FC45;28,1245;29,4075;28,5625;27,509;28,5137;28,6444;0,385134;0,460162;0,475803;0,914979;
