geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04,,,,
ent-7;Q20396,26.3412,24.9138,25.5935,25.8107,21.1974,21.3968,19.7806,21.4882,,,,
;E1B6S4,20.6296,20.8935,19.8945,21.0667,22.2587,21.7865,21.9052,22.6042,,,,
C27A7.1;E1B6U2,24.3201,24.1817,24.6763,23.9232,24.9753,23.5905,23.234,23.2345,,,,
rsd-2;E1B6W0,24.9578,24.3201,24.1971,22.7185,26.8857,27.3456,28.2021,26.8622,,,,
hpo-34;E3W743;Q93636;Q93637,21.9386,23.4778,24.4359,24.2272,23.9948,23.9798,23.8844,24.2964,,,,
hpo-34;E3W743;Q93636,19.5082,20.8382,21.6014,21.2696,20.9469,21.0794,21.1528,20.3796,,,,
hpo-34;E3W743;Q93636,20.0967,20.5342,21.3376,19.9676,20.7004,21.8429,20.1557,21.4727,,,,
hpo-34;E3W743;Q93636,21.0965,20.3727,20.8975,19.7538,21.5349,20.3886,20.8297,21.3889,,,,
hpo-34;E3W743;Q93636,20.3161,20.8165,18.9292,21.2438,23.6647,22.1125,23.5643,23.6853,,,,
hpo-34;E3W743;Q93636,22.7731,22.9649,23.0483,23.8142,20.5891,21.3784,21.1348,19.8662,,,,
hpo-34;E3W743;Q93637,19.8778,19.6808,20.2872,19.5568,20.8026,20.0346,21.5004,21.3303,,,,
hpo-34;E3W743;Q93637,20.3463,20.7011,20.9954,19.0019,24.0117,22.4917,23.1279,23.4397,,,,
hpo-34;E3W743;Q93637,23.3805,21.5589,22.1562,23.5521,25.8399,23.9853,24.519,24.6093,,,,
hpo-34;E3W743;Q93636,21.6621,20.3521,21.3111,21.1318,19.3338,21.653,21.173,19.7927,,,,
hpo-34;E3W743;Q93636,20.8658,19.8694,20.6688,19.3774,24.133,23.9784,23.5408,22.824,,,,
hpo-34;E3W743;Q93636,21.0205,21.1301,19.5903,20.2084,21.1239,21.1843,20.187,21.4077,,,,
